model,condition,gemini_SR_pct,haiku_SR_pct,delta_gem_minus_hai
claude-haiku-4-5-20251001,ND,55.29,56.86,-1.57
claude-haiku-4-5-20251001,WD,22.94,23.1,-0.16
claude-haiku-4-5-20251001,WRD,19.07,18.29,0.77
claude-opus-4-7,ND,86.9,85.32,1.59
claude-opus-4-7,WD,77.25,73.88,3.37
claude-opus-4-7,WRD,70.95,65.89,5.06
claude-sonnet-4-6,ND,74.31,70.2,4.12
claude-sonnet-4-6,WD,52.25,51.59,0.66
claude-sonnet-4-6,WRD,52.13,45.2,6.92
claude-sonnet-4-6-thinking,ND,84.31,81.18,3.14
claude-sonnet-4-6-thinking,WD,66.47,68.54,-2.07
claude-sonnet-4-6-thinking,WRD,66.53,62.56,3.97
deepseek_deepseek-v4-pro,ND,86.86,80.59,6.27
deepseek_deepseek-v4-pro,WD,51.32,49.1,2.22
deepseek_deepseek-v4-pro,WRD,52.64,48.87,3.78
gemini-3-flash-preview,ND,92.35,83.14,9.22
gemini-3-flash-preview,WD,85.29,78.76,6.54
gemini-3-flash-preview,WRD,82.31,69.77,12.54
gemini-3.1-flash-lite-preview,ND,86.67,81.37,5.29
gemini-3.1-flash-lite-preview,WD,56.67,48.46,8.2
gemini-3.1-flash-lite-preview,WRD,48.69,38.25,10.44
gemini-3.1-pro-preview,ND,93.14,92.16,0.98
gemini-3.1-pro-preview,WD,90.46,89.54,0.92
gemini-3.1-pro-preview,WRD,87.24,82.57,4.67
gpt-5,ND,84.12,81.76,2.35
gpt-5,WD,78.2,77.75,0.45
gpt-5,WRD,76.19,72.16,4.02
gpt-5-mini,ND,82.94,81.96,0.98
gpt-5-mini,WD,48.37,49.22,-0.85
gpt-5-mini,WRD,53.17,54.79,-1.62
gpt-5.5,ND,89.02,85.29,3.73
gpt-5.5,WD,84.25,78.89,5.36
gpt-5.5,WRD,80.25,72.17,8.07
openai_gpt-oss-120b,ND,43.14,47.25,-4.12
openai_gpt-oss-120b,WD,10.34,9.08,1.26
openai_gpt-oss-120b,WRD,11.72,12.85,-1.13
openai_gpt-oss-20b,ND,25.88,23.53,2.35
openai_gpt-oss-20b,WD,2.68,2.22,0.46
openai_gpt-oss-20b,WRD,2.14,2.25,-0.11
qwen_qwen3.5-122b-a10b-reasoning-off,ND,73.73,71.18,2.55
qwen_qwen3.5-122b-a10b-reasoning-off,WD,42.22,38.12,4.1
qwen_qwen3.5-122b-a10b-reasoning-off,WRD,41.42,34.96,6.46
qwen_qwen3.5-27b-reasoning-off,ND,80.98,79.61,1.37
qwen_qwen3.5-27b-reasoning-off,WD,50.46,47.29,3.17
qwen_qwen3.5-27b-reasoning-off,WRD,46.24,43.06,3.18
qwen_qwen3.5-35b-a3b-reasoning-off,ND,67.06,64.31,2.75
qwen_qwen3.5-35b-a3b-reasoning-off,WD,32.29,29.97,2.32
qwen_qwen3.5-35b-a3b-reasoning-off,WRD,32.72,29.66,3.06
qwen_qwen3.5-397b-a17b-reasoning-off,ND,83.53,79.22,4.31
qwen_qwen3.5-397b-a17b-reasoning-off,WD,50.23,44.8,5.43
qwen_qwen3.5-397b-a17b-reasoning-off,WRD,46.66,39.61,7.05
qwen_qwen3.5-9b-reasoning-off,ND,50.98,50.2,0.78
qwen_qwen3.5-9b-reasoning-on,ND,76.27,68.82,7.45
qwen_qwen3.5-9b-reasoning-on,WD,44.35,38.28,6.06
qwen_qwen3.5-9b-reasoning-on,WRD,44.16,38.43,5.72
